file,comment_added,comment_deleted,comment_modified,function_added,function_deleted,function_modified,decl_stmt_added,decl_stmt_deleted,decl_stmt_modified,cpp:define_added,cpp:define_deleted,cpp:define_modified,cpp:include_added,cpp:include_deleted,cpp:include_modified,argument_added,argument_deleted,argument_modified,refactoring_added,refactoring_deleted,refactoring_modified,cpp:ifdef_added,cpp:ifdef_deleted,cpp:ifdef_modified,return_added,return_deleted,return_modified,expr_stmt_added,expr_stmt_deleted,expr_stmt_modified,unit_added,unit_deleted,unit_modified,if_added,if_deleted,if_modified,cpp:endif_added,cpp:endif_deleted,cpp:endif_modified,struct_added,struct_deleted,struct_modified,expr_added,expr_deleted,expr_modified,destructor_added,destructor_deleted,destructor_modified,function_decl_added,function_decl_deleted,function_decl_modified,argument_list_added,argument_list_deleted,argument_list_modified,macro_added,macro_deleted,macro_modified,@type_added,@type_deleted,@type_modified,struct_decl_added,struct_decl_deleted,struct_decl_modified
007fcabab709604df64a3d466095030f07001027.cpp.xml,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00221ee85e776ea6caa9557fd8f6c5887d76db7e.h.xml,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001b7148f639438a01739bed221fe2f9c82b570f.h.xml,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0062312544ba756ab1d6e651b30c0dd9d6683f5b.cpp.xml,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0085329ace338c50aa184a8cb0052cb3bc19c3dc.cpp.xml,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0045cff9cb25b43d5a26f50fa03c0d3a3eb6a069.h.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0016761b31f6cc43738b300a3a3d739cc75990a5.cpp.xml,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00416ef7dccd3d263ee95a3bc812599e4b34fc37.h.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
003b73975477767a703683de2b8445c0091f5709.h.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0055fa68c08008cdd6200821d2b1b65b0653a6f5.cpp.xml,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002962c01d4fcddb92fa1d58fc542acbf7894d88.h.xml,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
