revision,file_entropy
3,0.09010344084215824
5,0.6834047293043453
7,0.0
13,0.0
16,0.0
17,0.0
32,0.0
34,0.0
36,0.8496237365384329
37,0.0
39,0.0
40,0.0
43,0.0
46,0.3952052709933196
47,0.0
50,0.0
52,0.9999614802715393
55,0.0
56,0.0
57,0.0
61,0.0
71,0.9848127668174715
72,0.627002791660382
73,0.7088088182839827
96,0.0
115,0.0
116,0.0
128,0.0
133,0.868083493273853
135,0.0
136,0.0
139,0.8831091583970367
141,0.0
143,0.0
145,0.9353349530113881
147,0.0
148,0.999966466022802
149,0.8581165348123123
150,0.9563267960139585
151,0.8649271926205166
153,0.0
166,0.0
176,0.0
177,0.0
178,0.0
179,0.0
185,0.0
187,0.0
191,0.8359546236318033
192,0.0
194,0.0
197,0.0
199,0.0
200,0.5452443378988162
208,0.7704611718329973
209,0.666841314999272
214,0.7842335203823068
215,0.0
220,0.9210639029305489
221,0.920977959713433
223,0.9457762209543545
224,0.5650228393458365
225,0.8296975216774753
230,0.0
239,0.7476532616789293
240,0.0
244,0.0
245,0.0
248,0.0
249,0.0
250,0.0
251,0.0
264,0.0
268,0.33844167724518276
274,0.0
277,0.0
278,0.0
281,0.0
284,0.0
286,0.9641235629358248
298,0.0
300,0.0
302,0.9210715204383164
304,0.0
306,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.8474783944026476
315,0.0
320,0.0
321,0.0
332,0.7125837536116384
333,0.0
335,0.0
336,0.0
345,0.5285053999858973
347,0.9001863703339872
349,0.0
356,0.8621149387705473
364,0.0
366,0.6839689668722253
372,0.7115990922307751
377,0.0
390,0.0
391,0.8574813013697973
393,0.0
394,0.876215385883555
397,0.0
398,0.913684745067494
400,0.4240425150375313
415,0.0
417,0.6768277349690637
418,0.0
419,0.0
423,0.0
426,0.0
433,0.0
434,0.7681911307259104
441,0.0
443,0.4543319148808516
450,0.0
451,0.0
454,0.0
459,0.0
463,0.0
475,0.0
476,0.0
477,0.0
479,0.8974227402522413
483,0.0
485,0.0
490,0.8080731879741422
492,0.0
493,0.0
500,0.0
501,0.0
505,0.0
513,0.0
515,0.0
523,0.0
524,0.0
529,0.0
537,0.0
542,0.8932926892143125
554,0.0
555,0.0
559,0.8533255578143751
560,0.0
562,0.7821619297421885
567,0.0
570,0.6749786144629957
