file,call,comment,refactoring,init,type,preprocessor,parameter,flow_control_stmt,access,cpp_feature,data_type,declaration,constructor,destructor,class,function
332,2,1,10,1,0,1,4,2,0,0,0,3,0,0,0,1
333,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
335,0,0,8,0,0,0,0,1,0,0,0,1,0,0,0,0
336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
347,7,111,215,2,2,74,31,18,0,1,2,21,0,0,1,16
349,0,2,6,0,0,0,0,2,0,0,0,0,0,0,0,0
356,0,1,0,0,0,3,0,3,0,0,0,0,0,0,1,2
364,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,2,1,16,0,0,0,0,1,0,0,0,1,0,0,0,4
372,2,1,10,1,0,1,4,2,0,0,0,3,0,0,0,1
377,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
391,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
393,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
394,0,0,2,0,0,1,0,10,0,0,0,0,0,0,0,1
397,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2
400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
415,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
417,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
418,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0
419,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
423,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
434,4,1,20,2,2,0,4,10,0,0,1,4,0,0,0,1
441,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
443,2,0,13,0,0,0,6,0,0,0,0,1,0,0,0,3
450,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
