revision,unique_types,entropy
1511,7,0.58
1512,1,0.0
1513,1,0.0
1533,3,0.318
1535,2,0.235
1536,0,0.0
1537,2,0.235
1541,1,0.0
1542,1,0.0
1543,2,0.185
1550,3,0.406
1551,3,0.353
1552,1,0.0
1554,0,0.0
1561,3,0.384
1568,1,0.0
1584,1,0.0
1590,2,0.256
1591,2,0.256
1592,2,0.256
1596,3,0.353
1601,5,0.396
1602,1,0.0
1603,0,0.0
1609,0,0.0
1614,4,0.464
1624,1,0.0
1625,2,0.256
1629,1,0.0
1634,2,0.235
1640,1,0.0
1648,4,0.488
1649,2,0.256
1652,4,0.45
1657,3,0.367
1658,1,0.0
1659,1,0.0
1661,1,0.0
1662,1,0.0
1666,1,0.0
1671,6,0.561
1673,0,0.0
1676,1,0.0
1682,9,0.66
1683,2,0.256
1687,2,0.256
1688,1,0.0
1690,2,0.208
1692,0,0.0
1693,1,0.0
1694,1,0.0
1696,1,0.0
1697,0,0.0
1698,1,0.0
1706,2,0.235
1719,1,0.0
1725,1,0.0
1727,2,0.256
1730,1,0.0
1733,2,0.256
1741,4,0.472
1743,4,0.472
1746,6,0.554
1748,1,0.0
1752,1,0.0
1753,4,0.473
1754,1,0.0
1755,2,0.129
1757,2,0.129
1758,2,0.208
1762,1,0.0
1764,1,0.0
1765,0,0.0
1767,10,0.517
1770,3,0.296
1774,1,0.0
1777,1,0.0
1778,1,0.0
1781,2,0.185
1782,1,0.0
1784,1,0.0
1793,1,0.0
1794,1,0.0
1797,0,0.0
1799,3,0.398
1810,1,0.0
1813,1,0.0
1819,2,0.129
1820,3,0.406
1821,0,0.0
1822,5,0.406
1823,3,0.406
1830,2,0.256
1833,2,0.235
1843,6,0.626
1847,1,0.0
1849,0,0.0
1850,7,0.362
1854,1,0.0
1856,2,0.112
1858,1,0.0
1860,1,0.0
1861,3,0.351
1866,5,0.552
1870,5,0.501
1871,5,0.552
1873,1,0.0
1882,1,0.0
1895,3,0.272
1915,3,0.406
1921,1,0.0
1922,4,0.492
1923,4,0.491
1926,3,0.39
1927,5,0.576
1928,4,0.491
1932,2,0.235
1936,2,0.256
1940,9,0.756
1943,9,0.756
1945,3,0.406
1947,0,0.0
1949,1,0.0
1952,3,0.384
1957,1,0.0
1958,0,0.0
1964,2,0.256
1966,1,0.0
1976,1,0.0
1983,4,0.426
1984,0,0.0
1986,1,0.0
1987,2,0.235
1990,1,0.0
1992,1,0.0
2004,1,0.0
2009,1,0.0
2012,1,0.0
2015,0,0.0
2021,1,0.0
2024,2,0.256
2030,0,0.0
2040,8,0.648
2053,2,0.235
2056,3,0.332
2057,3,0.332
2061,1,0.0
2069,0,0.0
2070,2,0.235
2071,4,0.469
2079,1,0.0
2081,1,0.0
2083,1,0.0
2084,0,0.0
2085,1,0.0
2090,1,0.0
2093,3,0.39
2096,1,0.0
2101,3,0.332
2102,5,0.477
2103,4,0.102
2104,1,0.0
2105,5,0.542
2107,1,0.0
2110,5,0.542
2111,1,0.0
2113,2,0.235
2117,2,0.235
2119,2,0.037
2121,2,0.256
2122,1,0.0
2128,2,0.151
2130,1,0.0
2133,1,0.0
2134,0,0.0
2142,4,0.293
2153,1,0.0
2158,0,0.0
2159,2,0.256
2162,3,0.406
2163,1,0.0
2164,2,0.256
2168,1,0.0
2169,4,0.512
2172,1,0.0
2174,1,0.0
2181,2,0.235
2182,2,0.235
2193,1,0.0
2195,1,0.0
2196,4,0.491
2201,3,0.373
2203,1,0.0
2206,1,0.0
2207,1,0.0
2208,3,0.338
2209,0,0.0
2214,2,0.256
2215,1,0.0
2218,0,0.0
2219,2,0.256
2221,2,0.235
2223,1,0.0
2226,4,0.512
2231,3,0.373
2232,0,0.0
2234,1,0.0
2235,3,0.28
2239,1,0.0
2241,11,0.65
2243,3,0.406
2244,2,0.235
2246,2,0.235
2247,1,0.0
2249,2,0.256
2255,2,0.256
2256,2,0.256
2257,1,0.0
2258,11,0.659
2259,7,0.467
2262,3,0.406
2265,1,0.0
2269,1,0.0
2279,3,0.398
2283,1,0.0
2286,1,0.0
2297,0,0.0
2299,2,0.235
2304,1,0.0
2305,0,0.0
2320,1,0.0
2321,1,0.0
2323,1,0.0
2325,8,0.634
2329,5,0.47
2335,1,0.0
2336,1,0.0
2337,2,0.254
2342,3,0.32
2347,3,0.39
2349,2,0.256
2354,8,0.743
2357,1,0.0
2361,2,0.185
2363,3,0.39
2366,3,0.384
2367,2,0.221
2368,0,0.0
2373,0,0.0
2379,1,0.0
2385,1,0.0
2390,1,0.0
2391,0,0.0
2392,1,0.0
2394,0,0.0
2396,2,0.256
2397,2,0.256
2398,2,0.256
2399,2,0.256
2402,2,0.235
2403,7,0.205
2404,7,0.205
2405,2,0.208
2406,2,0.235
2407,4,0.506
2408,3,0.406
2422,1,0.0
2423,1,0.0
2425,1,0.0
2427,1,0.0
2431,1,0.0
2436,1,0.0
2437,4,0.472
2441,2,0.256
2443,3,0.067
2449,2,0.249
2470,2,0.235
2478,5,0.594
2479,2,0.256
2492,5,0.565
2495,1,0.0
2498,0,0.0
2502,1,0.0
2505,3,0.096
2506,9,0.624
2511,1,0.0
2517,3,0.332
2520,3,0.332
2521,1,0.0
2522,1,0.0
2523,3,0.384
2525,2,0.235
2526,2,0.129
2527,1,0.0
2533,1,0.0
2536,2,0.256
2540,0,0.0
2541,6,0.593
2548,5,0.542
2554,4,0.488
2558,4,0.431
2562,1,0.0
2563,2,0.256
2566,1,0.0
2568,0,0.0
2571,1,0.0
2580,0,0.0
2583,3,0.332
2586,4,0.424
2591,4,0.424
2592,3,0.332
2593,6,0.293
2594,6,0.293
2595,2,0.235
2598,1,0.0
2601,5,0.526
2602,3,0.332
2606,1,0.0
2609,0,0.0
2610,1,0.0
2612,3,0.332
2614,3,0.406
2621,1,0.0
2622,6,0.293
2630,2,0.235
2632,1,0.0
2633,4,0.47
2635,0,0.0
2636,2,0.235
2637,0,0.0
2640,1,0.0
2662,2,0.235
2665,3,0.406
2667,2,0.256
2670,1,0.0
2672,0,0.0
2674,0,0.0
2675,1,0.0
2676,0,0.0
2681,0,0.0
2682,1,0.0
2685,2,0.256
2687,0,0.0
2689,2,0.256
2690,1,0.0
2691,6,0.538
2692,6,0.538
2693,1,0.0
2694,3,0.069
2696,0,0.0
2701,1,0.0
2713,2,0.256
2716,2,0.185
2718,1,0.0
2721,3,0.32
2722,4,0.488
2723,0,0.0
2725,2,0.256
2726,1,0.0
2727,1,0.0
2728,5,0.36
2731,1,0.0
2733,5,0.36
2740,1,0.0
2745,2,0.235
2747,1,0.0
2752,6,0.384
2753,4,0.36
2758,0,0.0
2764,6,0.384
2774,0,0.0
2784,7,0.571
2785,0,0.0
2786,3,0.384
2787,2,0.235
2788,4,0.241
2790,2,0.256
2791,2,0.256
2795,1,0.0
2801,8,0.415
2804,1,0.0
2807,2,0.235
2808,4,0.241
2810,2,0.256
2813,1,0.0
2815,4,0.512
2818,0,0.0
2820,4,0.077
2821,2,0.256
2822,1,0.0
2824,1,0.0
2837,1,0.0
2838,4,0.458
2839,2,0.235
2843,2,0.235
2845,1,0.0
2856,1,0.0
2864,1,0.0
2867,2,0.256
2870,3,0.384
2873,0,0.0
2878,6,0.614
2879,2,0.252
2881,11,0.809
2886,11,0.809
2889,7,0.601
2891,5,0.552
2892,0,0.0
2893,5,0.539
2894,3,0.406
2895,3,0.384
2898,0,0.0
2900,0,0.0
2903,5,0.539
2904,0,0.0
2905,5,0.552
2910,1,0.0
2911,3,0.384
2912,3,0.351
2913,2,0.235
2914,1,0.0
2915,1,0.0
2916,2,0.208
2917,1,0.0
2918,3,0.373
2919,0,0.0
2920,2,0.256
2921,2,0.235
2922,1,0.0
2923,1,0.0
2924,3,0.294
2925,5,0.527
2926,1,0.0
2927,2,0.256
2928,2,0.256
2930,3,0.188
2931,2,0.068
2932,0,0.0
2933,2,0.068
2934,1,0.0
2935,2,0.068
2936,1,0.0
2937,1,0.0
2942,7,0.578
2943,2,0.256
2947,8,0.483
2957,5,0.539
2964,11,0.659
2965,3,0.406
2966,2,0.235
2968,2,0.235
2969,0,0.0
2971,1,0.0
2975,11,0.658
2976,5,0.36
2980,5,0.36
2982,0,0.0
2986,3,0.384
2987,1,0.0
2988,5,0.403
3000,2,0.249
3001,2,0.256
3003,2,0.256
3014,1,0.0
3016,1,0.0
3021,4,0.396
3029,1,0.0
3034,3,0.406
3035,4,0.492
3048,1,0.0
3050,2,0.166
3051,2,0.256
3058,3,0.318
3064,2,0.256
3067,0,0.0
3071,1,0.0
3073,1,0.0
3075,1,0.0
3080,2,0.235
3089,2,0.235
3091,1,0.0
3092,1,0.0
3094,2,0.256
3097,1,0.0
3098,0,0.0
3099,0,0.0
3100,1,0.0
3111,2,0.235
3112,2,0.256
3120,1,0.0
3121,0,0.0
3124,1,0.0
3125,2,0.256
3126,2,0.256
3127,5,0.576
3130,1,0.0
3132,2,0.235
3138,2,0.235
3140,1,0.0
3142,1,0.0
3147,2,0.185
3149,3,0.406
3163,1,0.0
3167,1,0.0
3168,1,0.0
3175,4,0.512
3177,1,0.0
3180,1,0.0
3183,2,0.256
3186,3,0.288
3187,2,0.256
3190,4,0.472
3192,1,0.0
3193,2,0.235
3194,4,0.499
