revision,call,comment,refactoring,init,type,preprocessor,parameter,flow_control_stmt,access,cpp_feature,data_type,declaration,constructor,destructor,class,function
341,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
348,0,0,8,0,1,3,0,2,0,0,0,0,0,0,0,0
350,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
351,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
353,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0
355,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
361,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
363,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
367,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
374,2,1,10,1,0,1,4,2,0,0,0,3,0,0,0,1
375,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
376,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
382,0,2,0,0,0,2,0,1,0,0,0,2,0,0,0,4
383,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0
384,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
392,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
399,0,1,2,0,0,1,0,2,0,0,0,0,0,0,0,0
401,7,2,105,1,0,0,0,1,0,0,0,3,0,0,0,3
402,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
404,0,1,6,0,0,1,0,1,0,0,0,1,0,0,0,1
414,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0
416,0,1,4,0,0,0,4,8,0,0,0,1,0,0,0,0
421,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2
424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427,0,0,114,0,0,0,0,0,0,0,0,1,0,0,0,0
431,0,2,4,0,0,1,2,1,0,0,0,0,0,0,0,0
432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
436,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,3
437,0,2,46,0,0,5,2,0,0,0,0,0,0,0,0,0
438,2,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0
439,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0
442,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
453,0,0,1,0,0,12,0,1,0,0,0,3,0,0,0,0
456,1,2,12,1,0,25,4,35,2,0,1,8,0,0,0,0
457,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1
460,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
462,2,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0
467,18,0,20,0,0,0,3,10,0,0,0,0,0,0,0,0
468,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
469,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
482,7,2,1,0,0,10,60,2,0,0,0,0,0,0,0,8
488,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
495,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
497,0,1,2,0,0,1,0,0,0,0,0,2,0,0,0,1
499,0,66,62,0,0,41,0,89,0,0,0,1,0,0,0,0
502,0,1,2,0,0,2,0,0,0,0,0,2,0,0,0,4
503,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0
511,0,2,0,0,0,4,0,1,0,0,1,5,1,0,0,5
512,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
514,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
516,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
520,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0
526,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0
527,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
532,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
538,0,2,4,0,0,1,2,1,0,0,0,3,0,0,0,0
539,2,12,54,0,0,5,2,1,0,0,0,5,0,0,0,3
541,1,1,4,0,0,2,0,1,0,0,0,5,0,0,0,4
543,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
544,0,4,8,0,1,6,0,3,0,0,0,4,0,1,0,4
545,1,5,46,0,0,5,0,0,0,0,4,5,0,0,0,9
549,0,4,8,0,1,2,3,4,0,0,0,3,0,0,0,1
550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
551,0,2,0,0,0,4,2,0,0,0,0,0,0,0,0,2
552,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
553,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
563,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2
565,0,2,102,2,2,17,41,0,0,0,1,6,0,0,0,2
566,2,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0
569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
579,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
582,0,2,0,0,0,1,0,3,0,0,1,0,1,0,0,3
583,14,17,306,0,1,31,17,17,2,0,3,10,0,0,0,7
588,1,1,6,0,0,0,2,2,0,0,0,1,0,0,0,1
589,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0
